,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,Alc_Tot,Cond_elec,Dur_Tot,SDT,Fe_Tot,Mn_Tot,Fluo,CF,N_NO3,As_Tot,Cd_Tot,Cr_Tot,Hg_Tot,Pb_Tot
386,OCGCE3430,OCGCE3430-040922,CMAPS NANCHITAL (P-KM 34-2),SUBTERRÁNEO,2022-08-18 00:00:00,2022,163.8,1034.0,230.9,588.8,0.089,0.022,0.22,10.0,0.072,0.0015,0.00130148,0.0012,0.000201289,0.00154
387,OCGCE3431,OCGCE3431-040922,COMISION MUNICIPAL DE AGUA POTABLE Y SANEAMIENTO DE COATZACOALCOS (POZO ALLENDE NO. 1),SUBTERRÁNEO,2022-08-28 00:00:00,2022,177.9,3550.0,391.6,1853.8,3.282,0.133,0.25,10.0,0.04,0.012,0.00130148,0.0012,0.000201289,0.00154
388,OCGNO3484,OCGNO3484-210822,POZO 21 EJ. EL PROGRESO,SUBTERRÁNEO,2022-08-22 00:00:00,2022,295.0,991.0,372.0,643.0,0.887,0.006,0.48,3.0,1.568,0.003072,0.00130148,0.001874,0.000201289,0.001641
389,OCGCE5350,OCGCE5350-280822,O OP CD. CARDEL (COL. V. LOPEZ P-3),SUBTERRÁNEO,2022-08-22 00:00:00,2022,203.0,462.0,230.6,402.0,0.115,0.00119,0.0364,30.0,5.887,0.0015,0.00130148,0.023,0.000201289,0.00495
390,OCGCE5353,OCGCE5353-210822,O OP LOC TIERRA BLANCA (P-1),SUBTERRÁNEO,2022-09-22 00:00:00,2022,145.0,666.0,229.3,526.0,0.116,0.005,0.0364,30.0,5.97,0.0015,0.00130148,0.007,0.000435,0.00154
392,OCGNO3572,OCGNO3572-280822,POZO 27 EL OJITO,SUBTERRÁNEO,2022-08-29 00:00:00,2022,316.0,1303.0,599.0,871.0,0.103,0.218,0.32,150.0,0.031,0.0015,0.00130148,0.003035,0.0012,0.001736
393,OCGNO3574,OCGNO3574-280822,POZO 25 COMAPA PLANTA TRATADORA,SUBTERRÁNEO,2022-08-29 00:00:00,2022,263.0,898.0,511.0,565.0,0.059,0.003,0.083,3.0,4.339,0.0015,0.00130148,0.003018,0.000201289,0.002421
394,OCGNO3643,OCGNO3643-140822,POZO 112 CASA HOGAR MAMA PAULITA,SUBTERRÁNEO,2022-09-13 00:00:00,2022,221.0,1362.0,736.0,1076.0,0.071,0.029,0.24,93.0,6.742,0.0015,0.00130148,0.00202,0.000201289,0.00154
395,OCGNO3648,OCGNO3648-140822,POZO 147 EJIDO SAN PEDRO,SUBTERRÁNEO,2022-09-13 00:00:00,2022,350.0,1238.0,474.0,775.0,0.063,0.006,0.42,1100.0,6.668,0.0015,0.00130148,0.001773,0.0003905,0.00154
396,OCGNO6329,OCGNO6329-070822,POZO 36 EJIDO 20 DE NOVIEMBRE,SUBTERRÁNEO,2022-08-01 00:00:00,2022,270.0,7327.0,1814.0,4539.0,0.108,0.005,0.7,2400.0,37.571,0.0015,0.00130148,0.009,0.0017,0.001604
398,OCGNO6350,OCGNO6350-310722,POZO 77B EJIDO EL PALMAR,SUBTERRÁNEO,2022-07-28 00:00:00,2022,175.0,706.0,328.0,394.0,0.114,0.02,0.37,3.0,8.325,0.0015,0.00130148,0.0012,0.0009,0.02
399,OCLSP3687,OCLSP3687-210822,POZO RANCHO ALEGRE,SUBTERRÁNEO,2022-08-22 00:00:00,2022,698.7,1450.0,435.7,881.8,0.0041,0.315,1.1,10.0,0.597,0.018,0.00130148,0.0012,0.000201289,0.00154
400,OCLSP3697,OCLSP3697-210822,POZO 62. (SARH 344),SUBTERRÁNEO,2022-08-22 00:00:00,2022,286.4,684.0,243.0,427.8,0.0041,0.00021,0.41,20.0,5.653,0.0015,0.00130148,0.0012,0.000201289,0.00154
401,OCLSP3711,OCLSP3711-210822,POZO TESISTAN 62,SUBTERRÁNEO,2022-08-15 00:00:00,2022,50.8,234.0,44.2,250.2,0.0092,0.00021,0.17,10.0,9.589,0.0015,0.00130148,0.0012,0.000201289,0.00154
402,OCLSP3718,OCLSP3718-210822,POZO LAS GRANJAS,SUBTERRÁNEO,2022-08-17 00:00:00,2022,139.2,323.0,86.3,196.0,0.086,0.001,0.31,10.0,1.971,0.0015,0.00130148,0.0012,0.000201289,0.00154
403,OCLSP3720,OCLSP3720-210822,POZO COYOTES,SUBTERRÁNEO,2022-08-17 00:00:00,2022,80.7,156.0,58.2,147.8,0.076,0.00021,0.14,10.0,1.576,0.0015,0.00130148,0.0012,0.000201289,0.00154
404,OCLSP3782,OCLSP3782-040922,POZO 4 CH-103. JOCOTEPEC,SUBTERRÁNEO,2022-08-22 00:00:00,2022,204.0,462.0,138.6,316.4,0.0061,0.009,0.22,10.0,0.401,0.0015,0.00130148,0.0012,0.000201289,0.00154
405,OCLSP3785,OCLSP3785-040922,POZO 3 CH-223. SIMAPA. SAN JUAN COSALA,SUBTERRÁNEO,2022-08-22 00:00:00,2022,313.6,796.0,305.2,506.0,0.829,0.46,0.33,31.0,0.174,0.0015,0.00130148,0.0012,0.000201289,0.00154
406,OCLSP3799,OCLSP3799-040922,POZO HIST. 6-18. MEZCALA DE LA AZUNCION,SUBTERRÁNEO,2022-08-22 00:00:00,2022,162.8,351.0,40.2,286.4,0.071,0.06,0.6,31.0,0.155,0.0015,0.00130148,0.0012,0.000201289,0.00154
407,OCLSP3817,OCLSP3817-210822,POZO NO. 760,SUBTERRÁNEO,2022-08-17 00:00:00,2022,244.2,752.0,84.3,547.4,0.0041,0.00021,6.1,10.0,0.427,0.112,0.00130148,0.0012,0.000201289,0.00154
408,OCLSP3818,OCLSP3818-210822,POZO ATOTONILCO MPIO 1,SUBTERRÁNEO,2022-08-17 00:00:00,2022,345.9,777.0,375.5,552.6,0.03,0.002,0.43,148.0,12.284,0.0015,0.00130148,0.0012,0.000201289,0.00154
409,OCLSP3827,OCLSP3827-210822,POZO NO. 687,SUBTERRÁNEO,2022-08-17 00:00:00,2022,243.1,944.0,128.5,698.6,0.0088,0.00021,4.23,10.0,22.785,0.045,0.00130148,0.0013,0.000201289,0.00154
410,OCLSP3828,OCLSP3828-210822,POZO UNIDAD DEPORTIVA OCOTLAN,SUBTERRÁNEO,2022-08-22 00:00:00,2022,283.2,629.0,172.7,407.6,0.145,0.079,0.44,10.0,0.047,0.0015,0.00130148,0.0012,0.000201289,0.00154
411,OCLSP3841,OCLSP3841-140822,POZO 34. ATEQUIZA 2,SUBTERRÁNEO,2022-08-22 00:00:00,2022,205.1,480.0,110.4,330.0,0.0041,0.00021,0.61,10.0,3.139,0.0015,0.00130148,0.0012,0.000201289,0.00154
412,OCLSP3860,OCLSP3860-210822,POZO SUR POBLACION TAPALPA,SUBTERRÁNEO,2022-08-16 00:00:00,2022,139.2,302.0,116.5,205.8,0.0041,0.007,0.21,10.0,2.601,0.0015,0.00130148,0.0012,0.000201289,0.00154
413,OCLSP3983,OCLSP3983-280822,POZO SEAPAL 9,SUBTERRÁNEO,2022-10-01 00:00:00,2022,73.1,230.0,70.8,150.4,0.0076,0.00021,0.55,10.0,0.776,0.0015,0.00130148,0.0012,0.000201289,0.00154
414,OCLSP3970,OCLSP3970-280822,POZO RADIAL SEAPAL,SUBTERRÁNEO,2022-10-01 00:00:00,2022,140.1,390.0,155.4,231.6,1.959,0.634,0.35,63.0,0.211,0.0015,0.00130148,0.0012,0.000201289,0.00154
415,OCNOR4018,OCNOR4018-210822,POZO SAUZ DE URES,SUBTERRÁNEO,2022-08-18 00:00:00,2022,362.4,1481.0,576.3,1119.4,0.042,0.00021,0.54,10.0,7.761,0.0015,0.00130148,0.0012,0.000201289,0.00154
416,OCNOR4034,OCNOR4034-310722,POZO VILLA DEL REAL,SUBTERRÁNEO,2022-07-30 00:00:00,2022,192.3,887.0,226.0,519.8,0.0041,0.00021,0.93,10.0,8.209,0.0043,0.00130148,0.005,0.000201289,0.00154
417,OCNOR4035,OCNOR4035-310722,POZO BAGOTES Z12,SUBTERRÁNEO,2022-07-30 00:00:00,2022,190.1,577.0,188.0,367.4,0.0091,0.00021,0.58,31.0,1.572,0.0015,0.00130148,0.0021,0.000201289,0.00154
418,OCNOR4025,OCNOR4025-310722,POZO ARIZPE,SUBTERRÁNEO,2022-07-26 00:00:00,2022,212.4,851.0,386.0,624.0,0.074,0.00021,0.28,10.0,1.705,0.0015,0.00130148,0.0034,0.000201289,0.00154
419,OCNOR4036,OCNOR4036-310722,EL REAL DEL CATORCE,SUBTERRÁNEO,2022-07-30 00:00:00,2022,189.0,552.0,140.0,346.6,0.0079,0.00021,0.45,10.0,0.649,0.0015,0.00130148,0.0039,0.000201289,0.00154
420,OCNOR4027,OCNOR4027-310722,POZO TAHUICHOPA,SUBTERRÁNEO,2022-07-26 00:00:00,2022,239.6,991.0,412.0,745.8,0.015,0.021,0.32,10.0,1.991,0.0015,0.00130148,0.0012,0.000201289,0.00154
421,OCNOR4071,OCNOR4071-070822,VIÑEDO LOS ARROYOS,SUBTERRÁNEO,2022-08-05 00:00:00,2022,166.9,562.0,100.0,330.8,0.029,0.002,0.7,364.0,1.424,0.0015,0.00130148,0.021,0.000201289,0.00154
422,OCNOR4072,OCNOR4072-070822,CAMPO SAN JOSE,SUBTERRÁNEO,2022-08-05 00:00:00,2022,153.6,626.0,140.0,384.8,0.016,0.001,0.48,393.0,5.844,0.0015,0.00130148,0.028,0.000201289,0.00154
423,OCNOR4153,OCNOR4153-110922,POZO SAN MIGUEL DE HORCASITAS,SUBTERRÁNEO,2022-10-06 00:00:00,2022,246.3,722.0,281.2,461.8,0.0072,0.00021,0.47,10.0,2.763,0.02,0.00130148,0.0012,0.000201289,0.00154
