,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,SST,CF,E_COLI,ODs%,ODm%,ODf%,DBO5,DQO,TOX_D48s,TOX_D48f,TOX_F15s,TOX_F15f
287,OCPNO4486,OCPNO4486-310722,PRESA ADOLFO LOPEZ MATEOS 3,LÉNTICO (HUMEDAL),2022-07-29 00:00:00,2022,10.0,279.0,10.0,90.4,28.7,25.1,2.76,10.0,1.0,1.0,1.0,1.0
288,OCPNO4482,OCPNO4482-280822,PRESA SANALONA 7,LÉNTICO (HUMEDAL),2022-08-28 00:00:00,2022,40.6,563.0,31.0,116.7,58.5,55.6,2.0,10.0,1.0,1.0,1.0,1.0
289,OCPNO4487,OCPNO4487-310722,PRESA ADOLFO LOPEZ MATEOS 2,LÉNTICO (HUMEDAL),2022-07-29 00:00:00,2022,35.0,410.0,10.0,143.8,37.3,35.8,3.84,12.6,1.0,1.0,1.0,1.0
290,OCPNO4489,OCPNO4489-310722,PRESA ADOLFO LOPEZ MATEOS 4,LÉNTICO (HUMEDAL),2022-07-29 00:00:00,2022,13.8,471.0,10.0,154.6,109.3,23.8,17.5,21.84,1.0,1.0,1.0,1.0
294,OCPNO4507M1,OCPNO4507M1-070822,PRESA LUIS DONALDO COLOSIO 1,LÉNTICO (HUMEDAL),2022-08-05 00:00:00,2022,27.4,493.0,10.0,133.2,35.1,24.1,5.44,10.0,1.0,1.0,1.0,1.0
295,OCPNO4532,OCPNO4532-280822,PRESA JOSEFA ORTIZ DE DOMINGUEZ 1,LÉNTICO (HUMEDAL),2022-08-28 00:00:00,2022,16.9,1467.0,31.0,125.4,83.8,33.2,2.0,10.0,1.0,1.0,1.0,1.0
297,OCPNO4540,OCPNO4540-070822,PRESA MIGUEL HIDALGO Y COSTILLA 3,LÉNTICO (HUMEDAL),2022-08-05 00:00:00,2022,40.9,249.0,10.0,147.7,40.8,32.4,4.34,10.0,1.0,1.0,1.0,1.0
298,OCPNO4539,OCPNO4539-070822,PRESA MIGUEL HIDALGO Y COSTILLA 5,LÉNTICO (HUMEDAL),2022-08-05 00:00:00,2022,46.0,313.0,10.0,146.7,50.3,31.8,6.54,10.92,1.0,1.0,1.0,1.0
299,OCPNO4541,OCPNO4541-070822,PRESA MIGUEL HIDALGO Y COSTILLA 1,LÉNTICO (HUMEDAL),2022-08-05 00:00:00,2022,18.7,98.0,10.0,144.8,92.3,62.8,4.94,10.0,1.0,1.0,1.0,1.0
300,OCPNO4544,OCPNO4544-070822,PRESA LUIS DONALDO COLOSIO 3,LÉNTICO (HUMEDAL),2022-08-05 00:00:00,2022,18.6,620.0,10.0,132.2,23.1,20.1,4.54,10.08,1.0,1.0,1.0,1.0
