,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,SST,CF,E_COLI,OD%,DBO5,DQO,TOX_D48,TOX_V15
531,OCNOR4052W1,OCNOR4052W1-040922,PRESA EL NOVILLO,LÓTICO (HUMEDAL),2022-08-30,2022,16.7,1274.0,10.0,42.8,7.4,10.0,1.0,1.0
532,OCNOR4053,OCNOR4053-110922,RIO YAQUI 9,LÓTICO,2022-09-29,2022,23.6,1956.0,10.0,87.7,9.1,28.42,1.0,1.0
533,OCNOR4059,OCNOR4059-040922,RIO YAQUI 10,LÓTICO (HUMEDAL),2022-09-01,2022,805.0,5860.0,1220.0,104.1,2.0,12.42,1.0,1.0
534,OCNOR4061,OCNOR4061-110922,TONICHI RIO,LÓTICO (HUMEDAL),2022-09-29,2022,45.3,2046.0,10.0,92.1,8.9,18.39,1.0,1.0
536,OCNOR4078,OCNOR4078-110922,ECOSISTEMA ARROYO VERDE APFF SIERRA DE ALAMOS RÍO CUCHUJAQUI 3,LÓTICO (HUMEDAL),2022-10-05,2022,10.0,581.0,10.0,121.3,2.0,10.0,1.0,1.0
537,OCNOR4098,OCNOR4098-280822,RH9-1 SONORA SUR,LÓTICO,2022-08-23,2022,31.2,24196.0,1354.0,30.2,23.3,111.69,1.0,1.0
541,OCNOR4110,OCNOR4110-280822,RIO MAYO 4,LÓTICO (HUMEDAL),2022-08-24,2022,258.0,8300.0,1100.0,110.2,8.0,41.59,1.0,1.0
543,OCNOR4133,OCNOR4133-280822,SUR (SONORA)  (A) AGUAS ABAJO,LÓTICO,2022-08-25,2022,21.1,241960.0,241960.0,10.0,154.25,362.69,1.0,10.87
544,OCNOR4129,OCNOR4129-110922,RIO YAQUI 2,LÓTICO (HUMEDAL),2022-10-10,2022,110.9,6488.0,158.0,101.2,2.0,32.21,1.0,1.0
545,OCNOR4136,OCNOR4136-280822,SUR (SONORA)  (A) AGUAS ARRIBA,LÓTICO,2022-08-25,2022,42.7,15970.0,3310.0,68.3,11.5,49.72,1.0,1.0
546,OCNOR4139,OCNOR4139-280822,PUENTE CARRETERA INTERNACIONAL,LÓTICO,2022-08-24,2022,10.0,3076.0,10.0,152.7,2.0,11.7,1.0,1.0
547,OCNOR4151,OCNOR4151-280822,RIO YAQUI 4,LÓTICO (HUMEDAL),2022-08-26,2022,385.0,27550.0,1340.0,97.5,6.0,28.42,1.0,1.0
